,Sentences,Epoch: 1 (ckpt: 1),Epoch: 2 (ckpt: 2),Epoch: 3 (ckpt: 3),Epoch: 4 (ckpt: 4),Epoch: 5 (ckpt: 5),Epoch: 6 (ckpt: 6),Epoch: 7 (ckpt: 7),Epoch: 8 (ckpt: 8),Epoch: 9 (ckpt: 9),Epoch: 10 (ckpt: 10)
0,It's not what you think.,1.2490344047546387,1.5128803253173828,1.4156287908554077,1.422654151916504,1.4377119541168213,1.177856206893921,1.0361238718032837,0.9822483062744141,0.9548690915107727,0.9264155030250549
1,"I like to get past the fur, the feathers and the scales.",2.039915084838867,1.9116326570510864,2.0033156871795654,1.8415639400482178,1.969869613647461,1.8477442264556885,1.869531512260437,1.8440170288085938,1.7775800228118896,1.7881908416748047
2,"Some of them would have arrested him, but no one laid hands on him.",1.8522906303405762,1.8403433561325073,1.8298627138137817,1.8615193367004395,1.734138011932373,1.6915411949157715,1.5925514698028564,1.6230814456939697,1.5177894830703735,1.4820657968521118
3,"Oh, it's okay.",2.001037120819092,1.6413238048553467,1.6401560306549072,1.627852439880371,1.6045444011688232,1.4238231182098389,1.4264039993286133,1.3518539667129517,1.2603893280029297,1.295676589012146
4,Check out more great Games for your iPad at iPadCasinoApp.com,2.5206542015075684,2.639741897583008,2.474456548690796,2.322211503982544,2.324697971343994,2.2818243503570557,2.2133796215057373,2.2348926067352295,2.226177215576172,2.2075092792510986
5,"Home, sweet home.",2.4394073486328125,2.6820569038391113,2.3456029891967773,2.5608344078063965,2.657597541809082,2.4497218132019043,2.4334049224853516,2.694361448287964,2.5215020179748535,2.466836452484131
6,"Last year, The New York Times published a study that the government had done.",1.6227753162384033,1.5824400186538696,1.6056841611862183,1.54853093624115,1.5959506034851074,1.5806376934051514,1.4582321643829346,1.359372615814209,1.3338329792022705,1.300780177116394
7,"And the fifth angel poured out his vial upon the seat of the beast; and his kingdom was full of darkness; and they gnawed their tongues for pain,",2.0621585845947266,1.9279050827026367,1.946069359779358,1.942448377609253,1.8847906589508057,1.8317903280258179,1.7993253469467163,1.7353917360305786,1.6942251920700073,1.653123378753662
8,So I'm going to suggest that less stuff and less space are going to equal a smaller footprint.,1.8183518648147583,1.8459781408309937,1.9453662633895874,1.7341341972351074,1.772837519645691,1.6501522064208984,1.6629492044448853,1.572961688041687,1.5483671426773071,1.5377472639083862
9,She's not going anywhere.,1.4209927320480347,1.426434874534607,1.2652958631515503,1.2444299459457397,1.1458215713500977,1.1000174283981323,1.0481761693954468,0.9154092669487,0.9421597123146057,0.9206516742706299
10,Where the hell are we?,1.7249627113342285,1.6546745300292969,1.5372827053070068,1.3301976919174194,1.353682518005371,1.2435073852539062,1.085989236831665,1.0904326438903809,1.0490573644638062,1.0219346284866333
11,"Once you've figured this out, it is tempting to keep writing the same poem, or keep telling the same story, over and over, once you've figured out that it will gain you applause.",1.8224873542785645,1.8050386905670166,1.8235074281692505,1.7253080606460571,1.708888053894043,1.6619837284088135,1.647608757019043,1.6442064046859741,1.596574068069458,1.583974838256836
12,Enter your username,2.141796112060547,2.1204423904418945,1.8661322593688965,1.7962672710418701,1.902351975440979,1.5697362422943115,1.4415539503097534,1.3225922584533691,1.2554851770401,1.2529672384262085
13,"We all have bodies, don't we? Did I miss a meeting?",2.169989824295044,2.3189280033111572,2.2312116622924805,2.2268741130828857,2.2141506671905518,2.218724012374878,1.9995840787887573,1.9925428628921509,1.8071998357772827,1.8000072240829468
14,Uploaded on: {{ data.dateFormatted }},4.86040735244751,5.035860538482666,4.696619510650635,4.731194019317627,4.076406002044678,4.513115882873535,4.113033294677734,4.04984712600708,4.015635013580322,3.852691411972046
15,- How did you know that?,1.1955064535140991,1.3995473384857178,1.1807751655578613,1.0439026355743408,0.9406258463859558,1.1679385900497437,0.9402914047241211,0.9235605001449585,0.9446817636489868,0.9029965400695801
16,"And if you've ever been in a meeting where you play sort of meeting ""chicken,"" you're sitting there, looking at the person, waiting for them to look away, and then quickly checking the device.",1.6459170579910278,1.6423077583312988,1.6116489171981812,1.5984865427017212,1.5665298700332642,1.5641440153121948,1.510361909866333,1.4615178108215332,1.434739351272583,1.441946268081665
17,Are you certain?,2.253512144088745,2.049078941345215,2.4697539806365967,2.063690423965454,2.101025104522705,1.6649850606918335,1.4851833581924438,1.4646891355514526,1.3493865728378296,1.29313325881958
18,"And he saith unto them, Whosoever shall put away his wife, and marry another, committeth adultery against her.",1.8044546842575073,1.890742301940918,1.7233070135116577,1.6640384197235107,1.691364049911499,1.5905150175094604,1.6373554468154907,1.5251199007034302,1.4899306297302246,1.4661192893981934
19,"I spent the last couple of years looking at the science of human motivation, particularly the dynamics of extrinsic motivators and intrinsic motivators.",1.7864601612091064,1.912116527557373,1.827491044998169,1.758424162864685,1.7108550071716309,1.6993099451065063,1.5486005544662476,1.5656707286834717,1.5120375156402588,1.48952054977417
20,"A couple of weeks ago, I spoke at the Campus Outreach National Conference about every believer’s responsibility to evangelize. My text was 2 Corinthians 5:18-21. Here’s the video from that session.",2.400562286376953,2.3183419704437256,2.2820184230804443,2.251924514770508,2.251032590866089,2.2351202964782715,2.1831376552581787,2.1259355545043945,2.087191343307495,2.0596606731414795
21,Why would I?,2.239839553833008,2.2180376052856445,2.070190668106079,2.0629923343658447,1.9119641780853271,1.8526620864868164,1.7867333889007568,1.8557610511779785,1.7707524299621582,1.7697727680206299
22,"And if ye will receive it, this is Elias, which was for to come.",2.0003557205200195,1.9006203413009644,1.9196833372116089,1.8878154754638672,1.8469263315200806,1.7633088827133179,1.7495973110198975,1.7575374841690063,1.7264249324798584,1.7139606475830078
23,What's that mean?,1.746741771697998,1.6796059608459473,1.6169495582580566,1.6922036409378052,1.651265263557434,1.5608317852020264,1.2261621952056885,1.1067296266555786,1.0646336078643799,1.0553027391433716
24,What are you telling me?,1.308172583580017,1.3013423681259155,1.218445062637329,1.144131064414978,0.9599390625953674,0.9023232460021973,0.7574912905693054,0.8045069575309753,0.7760016918182373,0.7822655439376831
25,Let them go.,1.828169822692871,1.8134055137634277,1.775692105293274,1.7118312120437622,1.6206231117248535,1.5812740325927734,1.6290215253829956,1.5905072689056396,1.4971674680709839,1.4812484979629517
26,"A few years ago, I was running some of my own experiments in the lab.",1.470932126045227,1.4207099676132202,1.4056403636932373,1.38909912109375,1.3274776935577393,1.3434830904006958,1.3050484657287598,1.209110975265503,1.198839545249939,1.149288296699524
27,"When we think about how we're going to make the world a better place, we think education; that's where we put a lot of money.",1.4896454811096191,1.424476146697998,1.381930947303772,1.3815815448760986,1.3819795846939087,1.3158985376358032,1.24430251121521,1.2245852947235107,1.1898884773254395,1.1717627048492432
28,Follow us on Instagram,1.5745543241500854,1.6201188564300537,1.3864283561706543,1.310022234916687,1.3886020183563232,1.3492085933685303,1.2510125637054443,1.315181016921997,1.2336314916610718,1.1952807903289795
29,Top 5 Cities With The Best Nightlife In Europe,1.9399549961090088,1.8799506425857544,1.9636237621307373,1.8199468851089478,1.8008772134780884,1.7839001417160034,1.7246031761169434,1.6758991479873657,1.6377744674682617,1.616254448890686
30,"We arrived at Calverton Shooting Range, which unbeknownst to our group was being watched by the FBI.",2.3694629669189453,2.4141805171966553,2.3934781551361084,2.3429172039031982,2.2399861812591553,2.219478130340576,2.21423077583313,2.173064708709717,2.207048177719116,2.18845796585083
31,"Judas, who betrayed him, answered, ""It isn't me, is it, Rabbi?"" He said to him, ""You said it.""",2.3500280380249023,2.4298412799835205,2.159024238586426,2.2506725788116455,2.250377893447876,2.1530649662017822,2.0591189861297607,2.067352771759033,1.967717170715332,1.925991177558899
32,No 10-year-old goes to law school to do mergers and acquisitions.,2.4933836460113525,2.557837724685669,2.5598855018615723,2.541957378387451,2.4065165519714355,2.3330206871032715,2.2845160961151123,2.2794559001922607,2.2267303466796875,2.2488436698913574
33,"And all the devils besought him, saying, Send us into the swine, that we may enter into them.",1.9729188680648804,2.0392701625823975,1.9421708583831787,1.887705683708191,1.9088565111160278,1.8589093685150146,1.785269856452942,1.6824194192886353,1.5797396898269653,1.6146761178970337
