,Sentences,Epoch: 1 (ckpt: 1),Epoch: 2 (ckpt: 2),Epoch: 3 (ckpt: 3),Epoch: 4 (ckpt: 4),Epoch: 5 (ckpt: 5),Epoch: 6 (ckpt: 6),Epoch: 7 (ckpt: 7),Epoch: 8 (ckpt: 8),Epoch: 9 (ckpt: 9),Epoch: 10 (ckpt: 10)
0,"Es ist nicht, was du denkst.",2.302116632461548,2.0335750579833984,2.148587703704834,2.131669044494629,2.1428537368774414,2.110025405883789,2.046891689300537,1.9996651411056519,1.9694128036499023,1.9705827236175537
1,"Ich lasse gern den Pelz, das Gefieder, und die Schuppen hinter mir.",4.16644811630249,3.9239444732666016,3.67425274848938,3.5517094135284424,3.6352899074554443,3.622037410736084,3.7920238971710205,3.8970413208007812,3.5358922481536865,3.593522071838379
2,Es wollten aber etliche ihn greifen; aber niemand legte die Hand an ihn.,3.8383357524871826,3.2794675827026367,3.393627166748047,3.3112359046936035,3.0251471996307373,3.1009368896484375,2.9170544147491455,2.962869644165039,2.860219717025757,2.8655993938446045
3,Ist okay.,4.810225486755371,5.1027936935424805,5.688214302062988,5.090548038482666,4.204333305358887,4.24906587600708,3.959022283554077,4.363637447357178,4.1559271812438965,4.191417217254639
4,Schauen Sie sich weitere große Spiele für Ihr iPad an iPadCasinoApp.com,4.385807037353516,3.878159761428833,3.527745485305786,3.3357880115509033,3.478543758392334,3.3525002002716064,3.3740346431732178,3.284609794616699,3.186495065689087,3.250556468963623
5,Trautes Heim...,13.65072250366211,14.151566505432129,9.803400993347168,9.762939453125,9.019657135009766,10.527974128723145,10.950547218322754,10.215052604675293,10.930671691894531,11.207901954650879
6,"Letztes Jahr hat die New York Times eine Studie veröffentlicht, die die Regierung durchgeführt hat.",2.6021037101745605,2.324817657470703,2.0785887241363525,2.0805587768554688,1.9726324081420898,1.861589789390564,1.786164402961731,1.6931740045547485,1.6779519319534302,1.6875444650650024
7,"Und der fünfte Engel goß aus seine Schale auf den Stuhl des Tiers; und sein Reich ward verfinstert, und sie zerbissen ihre Zungen vor Schmerzen",4.482581615447998,3.9031407833099365,3.705507278442383,3.542973041534424,3.2943990230560303,3.2329840660095215,3.157386064529419,3.1685495376586914,3.210597038269043,3.2263424396514893
8,"Deshalb schlage ich Ihnen vor, dass weniger Zeug und weniger Platz zu einem kleineren Fussabdruck führen werden.",3.1841232776641846,2.9546420574188232,2.931117057800293,2.841191291809082,2.5582633018493652,2.654022693634033,2.5499496459960938,2.511763572692871,2.4211411476135254,2.4695959091186523
9,Die bleibt schön hier.,4.2776079177856445,3.6705119609832764,3.6751372814178467,3.7874088287353516,3.5591320991516113,3.8014564514160156,3.571495294570923,3.3620851039886475,3.386475086212158,3.435270071029663
10,- Wo zum Teufel sind wir?,4.163152694702148,2.546661138534546,2.040318012237549,2.0516600608825684,2.115745782852173,2.0026042461395264,1.960992455482483,1.9944690465927124,1.9681891202926636,1.9047961235046387
11,"Es ist verführerisch – wenn man das einmal erkannt hat – es ist verführerisch immer das gleiche Gedicht zu schreiben, oder immer die gleiche Geschichte zu erzählen, immer und immer wieder, wenn man einmal erkannt hat, dass es einem Applaus bringt.",2.8833587169647217,2.6201679706573486,2.544548273086548,2.6277430057525635,2.400207042694092,2.4265408515930176,2.422684669494629,2.3841350078582764,2.334209680557251,2.33122181892395
12,Benutzername einfügen,2.8023135662078857,3.159214496612549,2.901820659637451,3.174940347671509,2.7625231742858887,2.6876320838928223,2.805302143096924,2.91168475151062,2.8039276599884033,2.902590274810791
13,"Wir alle haben Körper, oder?",3.1873762607574463,3.3041770458221436,2.96136212348938,2.873166799545288,2.9401187896728516,2.7334630489349365,2.6654043197631836,2.6637043952941895,2.7134435176849365,2.7036592960357666
14,IHR ADDEFEND STATUS ZUR DATENERFASSUNG:,7.516157627105713,8.434171676635742,7.936878681182861,8.499979972839355,8.394438743591309,7.639612674713135,7.816441059112549,7.692498207092285,7.896347522735596,7.8817572593688965
15,Woher wissen Sie das?,2.7971298694610596,2.260965347290039,2.1586999893188477,1.7888216972351074,1.8131592273712158,1.7883371114730835,1.7321048974990845,1.7142527103424072,1.76434326171875,1.7277605533599854
16,"Wenn wenn Sie jemals in einem Meeting waren wo Sie irgendwie ""Meeting Schlappschwanz"" gespielt haben, Sie sitzen da, gucken die Person an und warten, dass sie wegguckt und dann plötzlich das Gerät checkt.",3.431199073791504,3.3044464588165283,3.1206188201904297,3.037353754043579,2.9860970973968506,2.993924617767334,2.943622589111328,2.875422954559326,2.8691842555999756,2.8301756381988525
17,Sind Sie sicher?,3.829251289367676,2.491831064224243,2.082980155944824,1.905709147453308,2.0021095275878906,2.0593388080596924,2.0277600288391113,2.018954277038574,2.130274534225464,2.1005911827087402
18,"Und er sprach zu ihnen: Wer sich scheidet von seinem Weibe und freit eine andere, der bricht die Ehe an ihr;",3.7954983711242676,3.1511058807373047,3.3106343746185303,3.0715150833129883,2.984855890274048,2.8820230960845947,2.8875796794891357,2.914599657058716,2.923187494277954,2.8783390522003174
19,"Ich habe die letzten Jahre damit verbracht, die Wissenschaft menschlicher Motivation zu untersuchen. Insbesondere das Kräftespiel von extrinsischen Motivatoren und intrinsischen Motivatoren.",3.2242910861968994,3.169266939163208,2.865654230117798,2.877073049545288,2.688831090927124,2.568213939666748,2.5263757705688477,2.490821123123169,2.4420266151428223,2.4237940311431885
20,"Vor ein paar Wochen, Ich sprach auf dem Campus Outreach National Conference über jede Verantwortung des Gläubigen zu evangelisieren. Mein Text war 2 Corinthians 5:18-21. Hier ist das Video von dieser Sitzung.",4.460193634033203,3.974656581878662,3.836622714996338,3.6633994579315186,3.5761396884918213,3.427342176437378,3.481015682220459,3.4878976345062256,3.3866233825683594,3.3158271312713623
21,- Warum sollte ich?,3.1091108322143555,2.5935428142547607,2.3673079013824463,2.4385597705841064,2.385470390319824,2.242565870285034,2.261409044265747,2.140573740005493,2.172163963317871,2.2070603370666504
22,"Und (so ihr's wollt annehmen) er ist Elia, der da soll zukünftig sein.",5.296624660491943,5.2659831047058105,4.735259056091309,5.235194683074951,4.935606002807617,4.772222518920898,4.592997074127197,4.381457328796387,4.576561450958252,4.525598526000977
23,Das bedeutet?,2.917949914932251,2.958211898803711,3.6977427005767822,3.1559348106384277,3.4348714351654053,3.402609348297119,3.6733031272888184,3.525320529937744,3.8840324878692627,3.8480095863342285
24,Was erzählen Sie mir da?,3.1716346740722656,2.660133123397827,2.4340217113494873,2.3853251934051514,2.539339065551758,2.6175689697265625,2.588686466217041,2.4357750415802,2.401329517364502,2.4368743896484375
25,Lasst sie in Ruhe!,3.736741065979004,3.565178394317627,3.055025339126587,2.6609857082366943,2.7677056789398193,2.4677555561065674,2.4902358055114746,2.4608449935913086,2.191866636276245,2.1770899295806885
26,Vor ein paar Jahren führte ich einige meiner Experimente im Labor durch.,2.8469555377960205,2.5012121200561523,2.2076773643493652,2.2279958724975586,2.075963258743286,2.054962396621704,1.977462649345398,1.8962311744689941,1.94405996799469,1.928951621055603
27,"Wenn wir daran denken, wie man die Welt verbessern könnte, denken wir an den Bildungsweg, dorthin stecken wir viel Geld.",2.937701463699341,2.737699508666992,2.460568428039551,2.3674817085266113,2.3056232929229736,2.296353816986084,2.2912139892578125,2.2589988708496094,2.191166877746582,2.16167950630188
28,Sitzung,7.75942850112915,6.250640392303467,6.585143089294434,6.3760085105896,6.277217388153076,6.241427898406982,6.424218654632568,6.323022842407227,6.509596347808838,6.443226337432861
29,5 Das beste Shopping Outlets in Europa,6.164372444152832,6.398359298706055,5.693458557128906,5.0967607498168945,5.2466206550598145,5.182803153991699,4.931494235992432,4.952945709228516,5.002061367034912,4.869756698608398
30,"Wir kamen an der Calverton-Schießanlage an, die ohne unser Wissen vom FBI beobachtet wurde.",4.8082380294799805,4.538471698760986,4.374786853790283,4.24332332611084,3.8426756858825684,3.7798917293548584,4.098382949829102,3.970064640045166,3.824765682220459,3.7598001956939697
31,"Da antwortete Judas, der ihn verriet, und sprach: Bin ich's Rabbi? Er sprach zu ihm: Du sagst es.",3.8377888202667236,3.3795430660247803,3.0549983978271484,2.8666436672210693,2.7953362464904785,2.666046619415283,2.5541186332702637,2.5774378776550293,2.5167787075042725,2.5227081775665283
32,Kein zehn Jahre alter studiert Jura um Fusionen und Übernahmen zu machen.,4.611339569091797,4.231082439422607,4.059445858001709,4.611880779266357,4.379842281341553,4.340755462646484,4.457032680511475,4.470600605010986,4.500112533569336,4.542326927185059
33,Und die Teufel baten ihn alle und sprachen: Laß uns in die Säue fahren!,4.439617156982422,3.716785430908203,3.650557518005371,3.532543420791626,3.6051735877990723,3.283304214477539,3.546928882598877,3.470501661300659,3.554710865020752,3.6000969409942627
34,Aber dagegen weh euch Reichen! denn ihr habt euren Trost dahin.,4.067894458770752,3.864267349243164,3.859117269515991,3.6897199153900146,3.8393235206604004,3.6674578189849854,3.8364667892456055,3.77195405960083,3.7838387489318848,3.785494089126587
35,"Welcher ißt, der verachte den nicht, der da nicht ißt; und welcher nicht ißt, der richte den nicht, der da ißt; denn Gott hat ihn aufgenommen.",4.182464122772217,3.5814411640167236,3.394050359725952,3.210324287414551,3.0746569633483887,3.1235263347625732,2.9096851348876953,2.9733896255493164,2.925895929336548,2.8619377613067627
