,Sentences,Epoch: 1 (ckpt: 941),Epoch: 2 (ckpt: 1882),Epoch: 3 (ckpt: 2823),Epoch: 4 (ckpt: 3764),Epoch: 5 (ckpt: 4705),Epoch: 6 (ckpt: 5646),Epoch: 7 (ckpt: 6587),Epoch: 8 (ckpt: 7528),Epoch: 9 (ckpt: 8469),Epoch: 10 (ckpt: 9410)
0,It's not what you think.,18.84136390686035,37.90900802612305,20.147838592529297,32.19620895385742,17.775493621826172,13.800385475158691,19.350831985473633,13.815206527709961,12.312287330627441,10.865280151367188
1,"I like to get past the fur, the feathers and the scales.",215.8747100830078,154.89035034179688,183.4914093017578,195.8943634033203,172.58155822753906,112.66584777832031,122.6585464477539,129.81407165527344,95.11032104492188,101.60844421386719
2,"Some of them would have arrested him, but no one laid hands on him.",190.70526123046875,188.87071228027344,180.00173950195312,279.00531005859375,155.35443115234375,194.36135864257812,150.09873962402344,115.40706634521484,99.35005187988281,85.84937286376953
3,"Oh, it's okay.",17.6501522064209,43.423824310302734,16.053943634033203,22.440582275390625,18.390399932861328,11.500702857971191,11.979991912841797,10.315444946289062,8.342595100402832,8.32618236541748
4,Check out more great Games for your iPad at iPadCasinoApp.com,742.11962890625,784.5913696289062,764.4002685546875,538.8394775390625,465.39349365234375,574.7379760742188,524.303955078125,590.7404174804688,593.7528686523438,615.0909423828125
5,"Home, sweet home.",278.5469665527344,175.0807647705078,365.383544921875,348.1501770019531,474.5782470703125,272.6947937011719,255.39793395996094,292.1307067871094,212.40985107421875,198.56155395507812
6,"Last year, The New York Times published a study that the government had done.",177.53431701660156,165.3180389404297,203.87844848632812,303.5469055175781,195.56732177734375,185.5491943359375,157.704833984375,121.42459869384766,94.66771697998047,86.02955627441406
7,"And the fifth angel poured out his vial upon the seat of the beast; and his kingdom was full of darkness; and they gnawed their tongues for pain,",331.0122985839844,276.4747314453125,238.79296875,239.9758758544922,260.6078796386719,204.32203674316406,187.1061553955078,137.6556854248047,122.24555206298828,109.46389770507812
8,So I'm going to suggest that less stuff and less space are going to equal a smaller footprint.,292.1953125,251.03201293945312,294.90765380859375,143.74569702148438,265.5704345703125,162.1964874267578,155.07437133789062,141.20806884765625,123.77120971679688,128.73464965820312
9,She's not going anywhere.,35.58230972290039,44.39834213256836,30.20427703857422,29.096282958984375,29.661521911621094,20.148460388183594,18.3712100982666,13.19622802734375,13.883209228515625,14.429429054260254
10,Where the hell are we?,74.37998962402344,112.24153137207031,68.96717834472656,107.80126190185547,65.00899505615234,33.65808868408203,20.32567024230957,17.20932388305664,16.27035903930664,13.517924308776855
11,"Once you've figured this out, it is tempting to keep writing the same poem, or keep telling the same story, over and over, once you've figured out that it will gain you applause.",230.7748260498047,184.24847412109375,182.33155822753906,209.3428192138672,188.97393798828125,157.55210876464844,170.45260620117188,140.86131286621094,130.96734619140625,121.49625396728516
12,Enter your username,1812.7022705078125,795.2682495117188,400.6964416503906,468.8904724121094,436.2733459472656,216.62384033203125,270.06622314453125,94.29846954345703,87.15296173095703,79.91254425048828
13,"We all have bodies, don't we? Did I miss a meeting?",179.80836486816406,225.5304412841797,225.3052520751953,313.61572265625,248.31451416015625,170.06997680664062,144.43785095214844,99.35147094726562,83.42725372314453,77.18386840820312
14,Uploaded on: {{ data.dateFormatted }},2138.76025390625,1732.0927734375,2017.6451416015625,1624.9600830078125,1730.630615234375,2182.08056640625,1412.416015625,887.7977294921875,938.8367919921875,621.5892944335938
15,- How did you know that?,12.839620590209961,22.407320022583008,20.85447120666504,12.355384826660156,12.608532905578613,11.961407661437988,9.257383346557617,8.940505027770996,9.794838905334473,9.106856346130371
16,"And if you've ever been in a meeting where you play sort of meeting ""chicken,"" you're sitting there, looking at the person, waiting for them to look away, and then quickly checking the device.",137.32447814941406,136.68373107910156,149.84194946289062,125.17221069335938,148.62123107910156,112.49535369873047,107.84104919433594,96.23172760009766,83.9703140258789,83.3524169921875
17,Are you certain?,295.3714904785156,190.7077178955078,191.26634216308594,276.1365051269531,377.2368469238281,171.76893615722656,146.8654327392578,63.8687858581543,45.04855728149414,40.01484298706055
18,"And he saith unto them, Whosoever shall put away his wife, and marry another, committeth adultery against her.",328.4776611328125,231.42654418945312,229.61582946777344,230.4512176513672,194.4320831298828,159.8792724609375,162.7429656982422,122.8282699584961,109.50514221191406,101.01747131347656
19,"I spent the last couple of years looking at the science of human motivation, particularly the dynamics of extrinsic motivators and intrinsic motivators.",204.26370239257812,301.5997314453125,275.93646240234375,246.37319946289062,217.57313537597656,169.71966552734375,136.2998809814453,140.18528747558594,109.09278869628906,103.79283905029297
20,"A couple of weeks ago, I spoke at the Campus Outreach National Conference about every believer’s responsibility to evangelize. My text was 2 Corinthians 5:18-21. Here’s the video from that session.",490.6687927246094,404.5750427246094,483.2929992675781,459.1554260253906,444.3427734375,443.3404541015625,413.270263671875,313.85345458984375,289.8396301269531,262.5484313964844
21,Why would I?,75.00765991210938,226.7422332763672,103.25013732910156,53.94971466064453,64.13084411621094,33.62655258178711,27.632408142089844,29.491872787475586,24.25272560119629,26.035364151000977
22,"And if ye will receive it, this is Elias, which was for to come.",141.471923828125,117.30587768554688,85.84159851074219,101.4253158569336,90.89852142333984,86.79811096191406,82.71929931640625,66.37890625,75.93936157226562,67.77518463134766
23,What's that mean?,86.17227172851562,125.61700439453125,58.04857635498047,53.484737396240234,55.434043884277344,22.93462562561035,25.281658172607422,17.023616790771484,13.416836738586426,12.704672813415527
24,What are you telling me?,36.02602767944336,55.65647506713867,35.1933479309082,31.29817008972168,22.725540161132812,15.542693138122559,12.013245582580566,8.802239418029785,8.497297286987305,8.459341049194336
25,Let them go.,64.47850036621094,50.82504653930664,64.12600708007812,43.10670471191406,53.438377380371094,55.80864715576172,38.74598693847656,27.503934860229492,23.6871337890625,24.065275192260742
26,"A few years ago, I was running some of my own experiments in the lab.",71.52207946777344,55.58836364746094,47.08323669433594,50.81842041015625,49.31451416015625,42.591678619384766,41.4996337890625,32.447696685791016,31.986896514892578,31.0977783203125
27,"When we think about how we're going to make the world a better place, we think education; that's where we put a lot of money.",62.672019958496094,71.89176940917969,69.78492736816406,66.39073944091797,66.24365997314453,50.23881149291992,49.19535446166992,39.7711067199707,38.43465042114258,37.36784362792969
28,Follow us on Instagram,480.9320373535156,654.3383178710938,459.4734802246094,441.2110290527344,451.1509704589844,453.5391845703125,310.133056640625,266.92596435546875,180.0318603515625,136.2219696044922
29,Top 5 Cities With The Best Nightlife In Europe,614.71826171875,504.0784912109375,849.2481079101562,557.4024047851562,352.12677001953125,457.9454345703125,442.84710693359375,315.25390625,238.87074279785156,214.81797790527344
30,"We arrived at Calverton Shooting Range, which unbeknownst to our group was being watched by the FBI.",929.9055786132812,1156.339599609375,1171.383544921875,712.3216552734375,730.508544921875,555.3622436523438,547.1151733398438,518.792724609375,599.8137817382812,553.804931640625
